Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent
329,December 21 2018,Scott Gillingham,no,yes,no,United Fire Fighters of Winnipeg,November 17 2018,Two tickets to union gala - $165/ticket,Invitation to attend the annual union fundraiser.,Mrs. Gillingham and a guest attended on Councillor Gillingham's behalf.
130,June 18 2018,Brian Bowman,yes,no,no,Nick Paulet - WPS Half Marathon,May 06 2018,Registration - $60,Bring greetings and participate,Retain
343,December 30 2018,Matt Allard,yes,no,no,Ian and John Walker,November 17 2018,Winter bike and supplies,"Ian is a personal friend, he gave me his dad's winter bike because he was not well enough to ride this year. Ian also gave me some supplies to ride in the winter. I accepted and have been winter cycling.",retained
245,October 31 2018,Brian Bowman,yes,no,no,St. Norbert BIZ,August 10 2018,Honey - $25,BIZ tour - protocol gift,Retain
278,December 10 2018,Shawn Nason,yes,yes,no,Alex Forrest,November 17 2018,Tickets to attend United Fire Fighters of Winnipeg Banquet & Ball value of $330,Letter sent to the office extending an invitation to me and a guest (my wife) to attend the UFFW Banquet & Ball.,Retained
23,April 04 2018,Matt Allard,yes,no,no,Winnipeg Housing Renewal Corporation,March 10 2018,Coffee and food - unknown,City representative,Retained
107,June 18 2018,Brian Bowman,yes,no,no,Chris Lorenc - MB Heavy Construction Agency,April 10 2018,Pen - $50,Protocol gift - Speaking,Retain
275,December 10 2018,Vivian Santos,yes,no,no,CentreVenture Development Corporation,December 07 2018,Dinner,attended as City Councillor for the Market Lands Design Competition presentation,retained
339,December 30 2018,Matt Allard,yes,no,no,Mohamed Doumbia,September 22 2018,Hospitality,I attended the Mali independence day event at the St. Martyr church,retained
104,June 18 2018,Brian Bowman,yes,no,yes,Kevin Mazur - UMSAE,April 05 2018,Logo'd golf shirts x 3 - $90,"Tour, Award Presentation",Retain
43,April 05 2018,Brian Bowman,yes,no,no,Navy League of MB,March 06 2018,Flag and pin - $100,Protocol invite,Retained
271,December 10 2018,Vivian Santos,yes,no,no,Casa Dos Acores,November 11 2018,Dinner,attended as City Councillor to the Closing Ceremony of Casa dos Acores Cultural Week,retained
55,April 27 2018,Jenny Gerbasi,yes,yes,no,GSAC,April 13 2018,40.00,Winnipeg Comedy Festival,Attended gala show
243,October 31 2018,Brian Bowman,yes,no,no,Alejandro Marisio - Government of Chile,August 08 2018,Book - $50,Protocol gift exchange,Retain
140,June 18 2018,Brian Bowman,yes,no,no,Jayden Schritt,May 14 2018,T-shirt - $20,Courtesy visit gift,Retain
47,April 05 2018,Janice Lukes,yes,no,no,Winnipeg Construction Association,March 29 2018,Flowers - value unknown,Appreciation,Left in office
200,July 05 2018,Matt Allard,no,no,yes,Provencher BIZ,April 11 2018,Hospitality,Regular meeting of the Biz improvement Zone of which Councillor Matt Allard is a member of the board of directors,Retained
145,June 18 2018,Brian Bowman,yes,no,no,Claudette Leclerc - Manitoba Museum,May 24 2018,Tribute dinner - $100,Committee member - invite,Retain
61,April 30 2018,Devi Sharma,yes,no,no,Amber Meadow Retirement Residence,March 08 2018,Storytelling conversation starter cards - approximately $15,Thank you gift for visiting and providing presentation on ward activities / updates,For use at community events
65,April 30 2018,Matt Allard,yes,no,no,Association of Bilingual Municipalities of Manitoba,March 28 2018,Food and refreshments,This was a meeting where we discussed Association of Bilingual Municipalities of Manitoba business,Retained
204,July 05 2018,Matt Allard,yes,no,no,RBC Convention Centre,April 20 2018,Hospitality,Attended on behalf of the City of Winnipeg the International Downtown Association - Ambassador Plaque Presentation,Retained
59,April 30 2018,Brian Bowman,yes,no,no,Kim Dudek and Philipp Kister - Murdoch MacKay Collegiate,March 23 2018,"Wall piece, metal crafted Winnipeg art - $750",State of the City - High School Students address,Retained
349,December 31 2018,John Orlikow,yes,no,no,Brian Bowman,December 14 2018,25,Holiday present to Councillors,retained
22,April 04 2018,Matt Allard,yes,no,no,Southdale Resident / Financial Services Broker,March 12 2018,Book - Saving for Your Future - unknown,Educational for prospective clients,Retained
225,July 18 2018,Marty Morantz,yes,no,no,Folklorama,July 17 2018,"2 VIP tickets to each pavilion, 44*2*$2.65 = $233.20",Complimentary tickets given to each councillor,retain
91,May 24 2018,Shawn Dobson,yes,no,yes,Engineers Geoscientists Manitoba,May 17 2018,light snack,Association's annual MLA Reception at the Manitoba Legislative Building,retained
96,June 08 2018,Marty Morantz,yes,no,no,Manitoba Heavy Construction Association,May 30 2018,Two complimentary dinner tickets $92.50 * GST/ticket = $194.25,Invited to attend annual MHCA Spring Mixer,attend
71,May 01 2018,Janice Lukes,yes,no,no,Mauritius Community,April 19 2018,"Mauritius pineapple candies and fan, value unknown",Thank you gift,Retained
201,July 05 2018,Matt Allard,no,no,yes,Provencher BIZ,June 13 2018,Hospitality,Regular meeting of the Biz improvement Zone of which Councillor Matt Allard is a member of the board of directors,Retained
32,April 05 2018,Brian Bowman,yes,no,no,Gourmet Inspiration,March 03 2018,Ticket - LoveLocalMB Tradeshow - $60,Bring greetings / tour tradeshow,Retained
185,June 28 2018,Brian Bowman,yes,no,yes,Dr. D. S. Reimer - Reimer World Corp.,June 18 2018,Lunch meeting - $200,Policy discussion,Retain
54,April 27 2018,Jenny Gerbasi,yes,yes,no,GSAC,April 12 2018,40.00,Winnipeg Comedy Festival,Attended gala show
62,April 30 2018,Matt Allard,yes,no,no,Two Festival du Voyagueur passes,March 16 2018,Food and refreshments,"I was given two adult passes to the Voyageur park, on one occasion I lent one of these to my friend Luis Trejo, then to my father in law Albert Saltel. I spent many days at the park.",Retained
82,May 15 2018,Scott Gillingham,yes,no,no,Southern Chiefs Organization,May 09 2018,Blanket $45,Given to me for bringing greetings on behalf of the City at their event.,retain
48,April 10 2018,Marty Morantz,yes,no,no,Canadian Jewish Political Affairs Committee,March 19 2018,Travel phone charger,Thank you for meeting students during their Student Leaders Session 4: Municipal Politics,Retained
13,March 27 2018,Mike Pagtakhan,yes,no,no,Portuguese Association of Manitoba,March 03 2018,Dinner Tickets,Honourary Guest at the 52nd Anniversary of the Portuguese Association of Manitoba,Attended the dinner
347,December 30 2018,Matt Allard,yes,no,no,Peg City Coop,October 12 2018,Honorary Membership,City Councillors were offered a free membership and I declined,declined
19,April 04 2018,Shawn Dobson,yes,no,no,Sturgeon Creek 1 Senior's Games,February 05 2018,"Two cookies, toque, pen, bag, ham sandwich - value unknown",Received when attended event,Retained
249,October 31 2018,Brian Bowman,yes,no,yes,Japanese Cultural Association,September 22 2018,Gala Dinner -  $150,Event attendance - protocol and speaking,Retain
337,December 30 2018,Matt Allard,yes,no,no,Vigor Awards,July 20 2018,Hospitality and entry to event,I was invited by the Vigor awards to participate on behalf of the city to this event,retained
109,June 18 2018,Brian Bowman,yes,no,no,Zach Minuk - Jewish Foundation of MB,April 13 2018,Annual Luncheon - $100,Deliver English blessing,Retain
342,December 30 2018,Matt Allard,yes,no,no,Soci�t� Francophone du Manitoba,December 05 2018,Hospitality,I attended a celebration of the Soci�t� Francophone du Manitoba,retained
237,October 29 2018,Scott Gillingham,yes,yes,no,Barry Rempel - Winnipeg Airport Authority,October 27 2018,Tickets for the Humane Society Gala - $450,Invited to attend the Gala at the Winnipeg Airport Authority table. Councillor Gillingham sits on a WAA committee.,The Gillinghams attended the event.
56,April 27 2018,Jenny Gerbasi,yes,yes,no,GSAC,April 15 2018,40.00,Winnipeg Comedy Festival,Attended the DEbaters show
231,August 01 2018,Brian Mayes,yes,no,no,2018 Fringe Festival Passes,July 02 2018,$120.00,All Councillors received passes worth $120.00,Did not use
4,March 07 2018,Brian Mayes,yes,no,no,Angela Cassie,March 06 2018,$2.95,Gave ride back to City Hall from St. Boniface City Hall flag raising,N/A
37,April 05 2018,Brian Bowman,yes,no,no,R. F. Morrison School,February 23 2018,10 Hershey kisses and a mug - $30,I Love to Read thank you gift,Retained
277,December 10 2018,Shawn Nason,yes,no,no,Christine Miller,November 14 2018,Ticket to attend Gala value of $210,Letter sent to the office extending an invitation to the Manitoba Heavy Construction Association Annual Chairman's Gala.,Retained
77,May 10 2018,John Orlikow,yes,no,no,Amie at Falaphal Place,May 02 2018,a coffee,Hospitality,retained
155,June 21 2018,Shawn Dobson,yes,no,yes,Assiniboia Chamber of Commerce,June 12 2018,2 bottled water,coffee at the chamber with a presentation,retained
88,May 24 2018,Shawn Dobson,yes,no,no,Assiniboia Downs,May 10 2018,Lunch Buffet,Official Launch for live racing,retained
141,June 18 2018,Brian Bowman,yes,yes,no,Eric Paquette - Cavalia,May 14 2018,"Tickets, opening night, Cavalia - $506.50",Bring greetings,Retain
138,June 18 2018,Brian Bowman,yes,yes,no,Trudy Schroeder - WSO,May 12 2018,"Tickets, WSO - $100",Key to the City Presentation,Retain
17,April 03 2018,Scott Gillingham,yes,no,no,Veterans Ombudsman,March 31 2018,Notebook and pen,N/A,N/A
218,July 05 2018,Matt Allard,yes,no,no,True North,April 01 2018,Bottle of water,I accepted a bottle of water on the tour of the new True North facilities,Retained
78,May 10 2018,John Orlikow,yes,no,no,Winnipeg Housing Rehabilitation Corporatoin,May 02 2018,"Sandwitch, pop &  coffee",Hospitality - Board meeting held over lunch hour,retained
124,June 18 2018,Brian Bowman,yes,no,no,Wes Payne - MB Nurses Union,May 01 2018,Tote bag - $20,Speaking gift,Retain
132,June 18 2018,Brian Bowman,yes,no,no,Group of Northern Israel Mayors,May 07 2018,Book - $50,Protocol,Retain
30,April 05 2018,Brian Bowman,yes,no,no,Mood Disorders Association of Manitoba,February 24 2018,Ticket - In the Mood Gala - $400,Bring greetings,Retained
51,April 26 2018,John Orlikow,no,no,yes,"State of the City Address, Wpg Chamber of Commerce event",March 23 2018,"Aromatherapy essential oil defuser, 20.00","table gift, had the dot on my cup.",retain
153,June 18 2018,Cindy Gilroy,yes,no,no,Red River Ex Complimentary four Tickets and one Parking,June 04 2018,Admission Tickets and Parking = $53.00,Complimentary Tickets,Donated
191,June 29 2018,Jenny Gerbasi,yes,no,no,Heritage Winnipeg,June 27 2018,$250.00,Keynote Speaker for their AGM,retained
42,April 05 2018,Brian Bowman,yes,no,no,Bothwell Cheese,March 03 2018,Cheese - $100,Love LocalMB tradeshow samples,Retained
246,October 31 2018,Brian Bowman,yes,no,no,Sheraz Ali,August 28 2018,"Shirts, hoodies, wristbands - $150",Courtesy gifts - meeting with Immigration Partnership Winnipeg,Retain
207,July 05 2018,Matt Allard,yes,no,no,Notre Dame Community Centre Volunteer Appreciation Evening,April 21 2018,Hospitality,Attended as area city Councilllor at the Notre Dame Community Centre Volunteer Appreciation Night,Retained
338,December 30 2018,Matt Allard,yes,no,no,Manitoba Building Trades,August 15 2018,Hospitality,I was invited to be building trades reception and attended,retained
169,June 26 2018,Scott Gillingham,yes,no,no,Manitoba Heavy Construction Association,May 30 2018,Complementary Entry To The MHCA Spring Mixer Event - $97.13 face value,Councillor Gillingham was invited to attend the social evening without charge.,Councillor Gillingham attended the event.
266,December 04 2018,Kevin Klein,yes,no,no,UFFW Ball,November 17 2018,$165ea x 2 tickets = $330,"Two complimentary tickets to the 2018 UFFW Charity Ball, offered to all councillors",retained
76,May 10 2018,John Orlikow,yes,no,no,McHappy Days,May 02 2018,"McHappy Days apron, water cup, and a value meet coupon",Volunteer appreciation gift,retained
239,October 31 2018,Brian Bowman,yes,no,no,Brad Rice - The Rink,August 01 2018,"Hat, practice jersey - $50",Protocol,Retain
176,June 28 2018,Brian Bowman,yes,no,no,Pastor Mark Hughes - Church of the Rock,June 05 2018,I Love Winnipeg shirt - $20,Speech at Pastors and Leaders Prayer Network - Speaking Gift,Retain
163,June 25 2018,Mike Pagtakhan,yes,no,no,Casa Dos Acores,April 21 2018,Dinner,attended the traditional Fish Dinner - bacalhau,attended dinner
117,June 18 2018,Brian Bowman,yes,no,no,Greg Leipsic - Junior Achievement,April 23 2018,Junior Achievement MB Business Hall of Fame Dinner - $200,Bring greetings,Retain
242,October 31 2018,Brian Bowman,yes,no,yes,Woodcock Cycle,August 07 2018,VIP pass package and 2 bus tour passes - $555.80,BIZ tour stop - protocol gift,Retain
175,June 28 2018,Brian Bowman,yes,yes,no,Bonnie and John Buhler,June 04 2018,Mandela: Struggle for Freedom Opening Gala - $500,Protocol invite,Retain
102,June 14 2018,Marty Morantz,yes,no,yes,Red River Ex admission + parking,June 01 2018,Admission*4 = $60 + parking,Complimentary tickets sent to all councillors,Retain
240,October 31 2018,Brian Bowman,yes,no,no,Norwood FLorists,August 01 2018,1 dozen roses - $50,BIZ tour stop - protocol gift,Retain
67,May 01 2018,Mike Pagtakhan,yes,no,no,Casa do Minho Portuguese Center,April 01 2018,Easter Lunch,guest speaker at the traditional Easter Feast and provided welcoming remarks,retained
193,June 29 2018,Jason Schreyer,yes,yes,no,Winnipeg Art Gallery,June 14 2018,Preview of exhibitions. Value unknown.,Celebration,Attended with spouse
334,December 30 2018,Matt Allard,yes,no,no,Norwood Hotel,December 06 2018,Ticket to the chamber of commerce state of the Province,I was offered a ticket to the state of the Province from the Norwood hotel,retained
41,April 05 2018,Brian Bowman,yes,no,no,Gourmet Inspirations,March 03 2018,Gift Bag - $100,Speaking gift - LoveLocalMB,Retained
164,June 25 2018,Mike Pagtakhan,yes,no,no,Councillor Brian Mayes,April 27 2018,Dinner,Attended with Councillor Brian Mayes as alumni from Dakota Collegiate,attended Gala Dinner
250,October 31 2018,Brian Bowman,yes,no,no,Culture Days MB,September 25 2018,Shirt - $20,Protocol - speaking gift at kick off event,Retain
147,June 18 2018,Brian Bowman,yes,yes,no,David Penner - Storefront MB,May 26 2018,Table for 1200 head table captain - $190,Protocol,Retain
108,June 18 2018,Brian Bowman,yes,no,yes,Wendy Galagan - Ronald McDonald House Charities of MB,April 12 2018,Hope Couture Fashion Gala - $300,Bring greetings,Retain
115,June 18 2018,Brian Bowman,yes,no,yes,Jeff Hnatiuk - Sport Manitoba,April 21 2018,Coaching MB Impact Awards - $100,"Bring greetings, present awards",Retain
260,October 31 2018,Brian Bowman,yes,no,yes,Barry Rempel - Winnipeg Airports Authority,October 20 2018,Royal Aviation Museum of Western Canada Wheels Up Gala - $200,Event attendance - protocol,Retain
232,August 01 2018,Brian Mayes,yes,no,no,2018 Folklarama VIP Passes,July 02 2018,Passes to Folklarama,All Councillors received VIP passes worth $233.20,retain
46,April 05 2018,Brian Mayes,yes,no,no,Resident at Meadowood Manor,March 26 2018,Knit dish cloth,N/A,Use it at City Hall
216,July 05 2018,Matt Allard,yes,no,no,Niakwa Parc Residents Association,June 10 2018,Candy,"I attended the Niakwa Park Family fun day with my kids, my kids participated in the breaking of the pinata and won some candy",Retained
31,April 05 2018,Brian Bowman,yes,no,no,Children's Hospital Foundation of MB,February 25 2018,Ticket - The Royal Princess Gala - $400,Bring greetings,Retained
267,December 04 2018,Kevin Klein,yes,no,no,Peak of the Market Fundraising Dinner,November 16 2018,$250 ea x 2 tickets = $500,Two complimentary tickets to the 2018 Peak of the Market Fundraising Dinner,retained
12,March 27 2018,Mike Pagtakhan,yes,no,no,Robertson School,February 28 2018,Coffee mug,Thank you for participating as a judge in the Robertson School Science Fair,Use in office
86,May 24 2018,Shawn Dobson,yes,no,no,Winnipeg Airports Authority,April 25 2018,Coffee,Annual Public Meeting,retained
233,August 22 2018,Jenny Gerbasi,yes,no,no,Folklorama,July 07 2018,VIP passes,"Attended seven Folklorama pavillions between August 7-13, 2018.",Retained
66,April 30 2018,Matt Allard,yes,no,yes,MLA Greg Selinger event promoting St. Boniface Land Development,February 27 2018,Food and refreshments,"The purpose of the event was to host delegates from Lactalis, the French company that owns the Parmalat site in Old St. Boniface",Retained
142,June 18 2018,Brian Bowman,yes,no,no,NORAD,May 17 2018,Portfolio - $40,Tour,Retain
253,October 31 2018,Brian Bowman,yes,no,yes,Winnipeg Football Club,October 09 2018,Blue Bombers Legacyt Dinner - $100,Event attendance - protocol and speaking,Retain
221,July 16 2018,Janice Lukes,yes,no,no,Winnipeg Fringe Theatre Festival,July 02 2018,2 VIP Fringe Passes,Thank you gift for being a community supporter of the Fringe Festival,Retained
226,August 01 2018,Jeff Browaty,yes,no,no,Folklorama,July 18 2018,Tickets (2 each per 44 pavilions) $233.20,VIP Ticket Offer,Retained
103,June 18 2018,Brian Bowman,yes,no,yes,Nicola Starin - CancerCareMB,April 04 2018,A Gold Plated Evening - $400,Bring greetings,Retain
129,June 18 2018,Brian Bowman,yes,no,no,Chandra Kremski - Third & Bird,May 03 2018,"Meal, courtesy gifts - $100","Tour, meet and greet of shoppers and exhibitors",Retain
36,April 05 2018,Brian Bowman,yes,no,no,Michael Shuman,February 23 2018,Two books - $100,Presented during meeting,Retained
85,May 24 2018,Shawn Dobson,yes,no,no,AMCC (Assiniboine Memorial Curling Club),April 20 2018,Lasagna (dinner),"Year End FUNSpiel, and their annual Volunteer Appreciation night",retained
33,April 05 2018,Brian Bowman,yes,no,no,Habitat for Humanity,March 18 2018,Ticket - Habitat Women's Build Speaker Series - $120,Bring greetings,Retained
327,December 21 2018,Scott Gillingham,no,yes,no,Winnipeg Construction Association,November 02 2018,Two complementary tickets to organization gala - $250/ticket,Invitation to attend the industry dinner.,Attended with spouse.
248,October 31 2018,Brian Bowman,yes,no,no,Precision ADM,September 18 2018,Fabricated bottle opener - $50,Machine demonstration,Retain
110,June 18 2018,Brian Bowman,yes,no,no,Janette Sadik-Khan - Bloomberg,April 16 2018,Book - $27,Meeting,Retain
254,October 31 2018,Brian Bowman,yes,no,no,Winnipeg Football Club,October 09 2018,Blue Bombers Legacyt Dinner - $100,Event attendance - protocol and speaking,Retain
332,December 28 2018,Ross Eadie,yes,no,no,Albert El Tassi,December 10 2018,Box of chocolates. $50.00,Christmas gift,retained
3,March 01 2018,Brian Mayes,yes,no,no,#ForksLearnToRun,February 28 2018,$20 Gift Card for the Forks Market,Participation and speech at run club,Retain for personal use
346,December 30 2018,Matt Allard,yes,no,no,Ajay Chopra,November 03 2018,Traditional Clothing,Ajay Chopra gave my son and I traditional clothing from India to wear at Diwali,retained
116,June 18 2018,Brian Bowman,yes,no,yes,Dr. Grant Pierce - St. Boniface Hospital Albrechtsen Research Centre,April 21 2018,Celebreation of 30 Years of Research Gala - $400,Bring greetings,Retain
272,December 10 2018,Vivian Santos,yes,no,no,St. Michaels Orthodox Church,November 18 2018,Lunch,attended as Acting Deputy Mayor to the 100th Anniversary of St. Michaels Orthodox Church,retained
172,June 28 2018,Cindy Gilroy,yes,no,no,Winnipeg Fringe Theatre Festival,June 26 2018,Fringe Festival Passes (2) $288.00,VIP Tickets to Councillors,I do not intend to use the passes.
94,June 06 2018,John Orlikow,yes,no,no,Downtown BIZ,June 04 2018,"3 t-shirts Winnipeg is Good, 1 t-shirt Downtown Biz pop up",Pop-Up- Toilet anouncement,retained
70,May 01 2018,Mike Pagtakhan,yes,no,no,Dakota Collegiate Gala Dinner,April 27 2018,Gala Dinner & Alumni Guest,Councillor Brian Mayes invited to attend,retained
134,June 18 2018,Brian Bowman,yes,no,no,"Iwao Horii, Parliamentary Secretary for Foreign Affairs - Japan",May 07 2018,Teacup - $50,Protocol,Retain
133,June 18 2018,Brian Bowman,yes,no,no,U of M Women's Hockey team,May 07 2018,Signed team photo - $50,Gift in response to reception event in April,Retain
131,June 18 2018,Brian Bowman,yes,no,no,Stefano Grande - Downtown Winnipeg BIZ,May 07 2018,"Gift Card, Chocolate - $50",Speaking gift - Downtown Safety Summit,Retain
20,April 04 2018,Shawn Dobson,yes,no,no,Sturgeon Creek 1 Senior's Games,February 09 2018,Two cookies,Received at event,Retained
190,June 28 2018,Brian Bowman,yes,no,no,Marion Cooper - CMHA,June 24 2018,Cycling shirt - $30,Event shirt for Ride Don't Hide - delivered greetings in shirt,Retain
174,June 28 2018,Jason Schreyer,yes,no,no,Punjab Entertainment,April 22 2018,1 admission at $75.00 each,promotion of Vaisakhi Special Concert,attended
64,April 30 2018,Matt Allard,yes,no,no,Louis Riel School Division,March 12 2018,Coffee,Had a meeting to discuss Active Transportation upgrades in Windsor Park on Louis Riel School Division Land,Retained
214,July 05 2018,Matt Allard,yes,no,no,Union Nationale Francaise,May 25 2018,Hospitality,I attended as City Councillor for St. Boniface an event commemorating Honorary Consul Bruneau Burnichon on his retirement,Retained
208,July 05 2018,Matt Allard,yes,no,no,Municipal Administrators Conference,April 23 2018,Coffee,Spoke on behalf of the city of Winnipeg to the Municipal Adminstrators Conference,Retained
119,June 18 2018,Brian Bowman,yes,yes,no,Brenlee Carrington-Trepel and Brent Trepel,April 26 2018,WSO Gala - $550,Past board membership,Retain
269,December 05 2018,Ross Eadie,yes,no,no,Winnipeg Fringe Festival,July 12 2018,12 fringe passes- $120,Found in mail.,retained
58,April 30 2018,Brian Bowman,yes,no,no,Rick Hansen - Rick Hansen Foundation,March 21 2018,Book - $35,Meeting,Retained
199,July 05 2018,Matt Allard,no,no,yes,Norwood BIZ,May 29 2018,Hospitality,Regular meeting of the Biz improvement Zone of which Councillor Matt Allard is a member of the board of directors,Retained
49,April 10 2018,Brian Mayes,yes,no,no,Facility Architecture Students at UofM,April 10 2018,Book of student architecture projects,Meeting with students regarding Canoe Club,retain
181,June 28 2018,Brian Bowman,yes,no,yes,Melissa Gerardy - PCL,June 12 2018,"Reception, True North Square Sneak Peek and Thank You to Stakeholders - $100","Protocol, speaking",Retain
143,June 18 2018,Brian Bowman,yes,no,yes,Karen Wiebe - TJ's Gift Foundation,May 17 2018,Gala tickets - $100,Bring greetings,Retain
183,June 28 2018,Brian Bowman,yes,no,no,Dave Elmore - Bike Week Winnipeg,June 15 2018,Shirt - $20,"Kick-off for Bike Week at City Hall, greetings in shirt",Retain
168,June 25 2018,Mike Pagtakhan,yes,no,no,Joao Paul Melo,June 15 2018,Lunch,Meeting with Joao Paul Melo and John Cardoso,attended lunch
157,June 21 2018,Shawn Dobson,yes,no,yes,Red River Ex Association,June 19 2018,"casual barbecue dinner, complimentary midway treats and a few ride tickets",An informal evening to thank community partners for their help throughout the year.,retained
11,March 27 2018,Mike Pagtakhan,yes,no,no,WASPS F.C.,March 16 2018,Plaque with photo of WASPS F.C. team,Thank you gift for donating funds to support the soccer team,Display in office
167,June 25 2018,Mike Pagtakhan,yes,no,no,Casa Dos Acores,May 25 2018,Dinner,Casa dos Acores annual Blessing of the Meat,attended dinner
264,October 31 2018,Brian Bowman,yes,no,yes,Jody Zarn - Laps 4 Life,October 31 2018,"Gift cards, fridge magnets - $60",Thank you gift,Retain
188,June 28 2018,Brian Bowman,yes,no,no,Christopher Ali,June 19 2018,Book - $30,Courtesy visit gift,Retain
14,March 27 2018,Mike Pagtakhan,yes,no,no,Sergeant Tommy Prince Place,March 17 2018,Sweet Grass,Received as a thank you for attending the Sergeant Tommy Prince Place Unveiling Ceremony,Display in office
128,June 18 2018,Brian Bowman,yes,no,yes,Doug Haworth - Winnipeg Business Club,May 03 2018,"Lunch, WBC Weekly Luncheon and portfolio- $80",Keynote lunch and speaking gift,Retain
16,April 03 2018,Scott Gillingham,yes,no,no,Canadian Cancer Society,March 31 2018,Daffodils,N/A,N/A
177,June 28 2018,Brian Bowman,yes,no,no,Tony Faraci - Faraci Foods,June 05 2018,Pizza Pops - $20,Taste test event - the original pizza pop snack,Retain
331,December 21 2018,Scott Gillingham,yes,no,no,Canadian Mental Health Association,December 15 2018,Two tickets to organization gala - $250/ticket,Councillor brought greetings on behalf of the Mayor and City Council.,Attended the gala with his spouse.
7,March 19 2018,Brian Mayes,yes,no,no,Canadian Cancer Society,March 19 2018,Daffodils,National fundraising campaign,Retained
262,October 31 2018,Brian Bowman,yes,no,yes,Never Alone Foundation,October 24 2018,Luncheon - $100,Event attendance - protocol,Retain
333,December 30 2018,Matt Allard,yes,no,no,Folklorama,August 05 2018,Folklorama VIP passes,Folklorama offeres VIP passes to elected officials,retained
325,December 20 2018,Kevin Klein,yes,no,no,Mayor Bowman,December 18 2018,"bag of assorted candies, approximately $5",Christmas/holiday goodies from Councillor Jeff Browaty to all councillors,retained
276,December 10 2018,Vivian Santos,yes,no,no,Manitobans for Human Rights Youth Advisory Council,December 09 2018,Lunch,attended as Acting Deputy Mayor to bring greetings at the annual International Human Rights Day luncheon,retained
39,April 05 2018,Brian Bowman,yes,no,no,Grant Memorial Church,February 28 2018,Daily prayer book - $30,Meeting with church leadership,Retained
229,August 01 2018,Jeff Browaty,yes,no,no,Rainbow Stage - Beauty & The Beast,July 26 2018,Tickets estimated value $130.00 (2 tickets at ~$65.00 each),VIP Ticket Offer,Retained
9,March 20 2018,Janice Lukes,yes,no,no,Canadian Cancer Society,March 19 2018,10 daffodils (flowers) and daffodil pin,Promotion of daffodil month,Retained
236,September 20 2018,Marty Morantz,yes,no,no,Oak Park Raiders,September 14 2018,Enclosed Football Helmet from Oak Park Raiders,Thank you gift for speaking at grand opening of Gil Bramwell field and for funding over past years to make reconstruction of field possible,retain
53,April 27 2018,Matt Allard,no,no,yes,Provencher BIZ,April 04 2018,Food and refreshments,Ryan attended the regular meeting of the Provencher Business improvement zone on behalf of Councillor Allard.,Retained
90,May 24 2018,Shawn Dobson,yes,no,no,Cavalia Odysseo,May 15 2018,2 tickets (approximately $300?),Offered to Council as a representative of the City,retained
261,October 31 2018,Brian Bowman,yes,no,yes,Barry Rempel - Winnipeg Airports Authority,October 20 2018,Royal Aviation Museum of Western Canada Wheels Up Gala - $200,Event attendance - protocol,Retain
184,June 28 2018,Brian Bowman,yes,no,no,Karly Tardiff,June 15 2018,Celebrate Winnipeg Luncheon seat - $50,Invited through Winnipeg is Good fundraising partnership,Retain
162,June 25 2018,Mike Pagtakhan,yes,no,no,Casa Do Minho,April 01 2018,Lunch,attended the Traditional Kissing of the Cross followed by Passover meal,attended luncheo
273,December 10 2018,Vivian Santos,yes,no,no,Winnipeg Chinese Cultural & Community Centre,December 01 2018,Dinner,attended as City Councillor to the WCCCC Annual Christmas & New Years Dinner,retained
2,February 23 2018,Janice Lukes,yes,no,no,Royal Bank,February 21 2018,Coffee mug - value unkown,Public Engagement event,Use in office
38,April 05 2018,Brian Bowman,yes,no,no,UWSA Daycare,February 23 2018,Two cinnamon rolls - $10,I Love to Read at daycare,Retained
328,December 21 2018,Scott Gillingham,yes,yes,no,Manitoba Heavy Construction Association,November 16 2018,Two tickets for the organization gala - $210/ticket,Invitation to attend organization dinner.,Attended with spouse.
5,March 07 2018,Cindy Gilroy,yes,no,no,Wellington School - I Love to Read,February 26 2018,Coffee mug and four Cookies $2.00,Was a guest reader to grade 1 & 2 kids,Retained
25,April 04 2018,Matt Allard,yes,no,no,Catholic Health Corporation,March 05 2018,Coffee - unknown,Coffee during meeting,Retained
268,December 05 2018,Ross Eadie,yes,no,no,Folklorama,July 12 2018,12 tickets for Folklorama pavilions and food/beverage - $521.20,Found in mail.,retained
127,June 18 2018,Brian Bowman,yes,no,no,Alexander Thompson - Canada Goose,May 03 2018,Go Jets Go Snow Mantra Parka - $1600,Courtesy Gift,Retain
151,June 18 2018,Brian Bowman,yes,no,yes,Jessica Cogan - Jewish National Foundation,May 29 2018,Negev Gala - $150,Bring greetings,Retain
220,July 16 2018,Marty Morantz,yes,no,no,Winnipeg Fringe Festival,July 02 2018,"VIP 6 Passes, $144",Passes given to all councillors unsolicited,retained
195,July 05 2018,Janice Lukes,yes,no,no,Cavalia,May 15 2018,2 Tickets Cavalia Odysseo,Invitation to VIP Premiere as a representative of the City.,Retained
165,June 25 2018,Mike Pagtakhan,yes,no,no,Immaculate Conception Parish,May 06 2018,Lunch,attended the Annual Feast and Procession of Senhor Santo Cristo dos Milagres,attended Lunch
247,October 31 2018,Brian Bowman,yes,no,no,Keith Macpherson,August 29 2018,Book - $25,Thank you gift,Retain
