Notice Type,Community,Notice ID,Address,Description,Conditions,Approval Type,Meeting Date,Decision,Search DMIS,In Date,Order Date,Ward,Neighbourhood,Location,Roll Number,Appeal Date,Report/Plan URL,Point,Plain Language,Wards,Neighborhoods,Zip Codes,Electoral Ward 2018
VARIANCE,East Kildonan-Transcona,16-116250/C,366 Roberta AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit as follows:
1) on Proposed Lot 1:  
  a) a lot width of 24.95 feet (7.60 metres) instead of 41.5 feet (12.65 metres);
  b) a lot area of 2495 square feet (231.8 square metres) instead of 4141 square feet (384.7 square metres);
2) on Proposed Lot 2:
  a) a lot width of 25 feet (7.62 metres) instead of 41.5 feet (12.65 metres);
  b) a lot area of 2500 square feet (2343.25 square metres) instead of 4141 square feet (384.7 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,04/05/2016,,,30/03/2016,09/05/2016,Elmwood - East Kildonan,Rossmere-B,"(49.929968526609976, -97.09315707380645)",,05/26/2016 12:00:00 AM,,POINT (-97.09315707380645 49.929968526609976),,1,11,,2
VARIANCE,Riel,16-116285/C,48 Frederick AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit as follows:
  a) lot widths of 25 feet (7.62 metres) instead of 46 feet (14.02 metres);
  b) lot areas of 3816 square feet (354.5 square metres) instead of 6164 square feet (572.6 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,07/07/2016,,,30/03/2016,20/05/2016,St. Vital,St. George,"(49.84667663156081, -97.1085078490133)",,06/06/2016 12:00:00 AM,,POINT (-97.1085078490133 49.84667663156081),,11,95,,10
APPEAL,Riel,16-116285/C,48 Frederick AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit as follows:
  a) lot widths of 25 feet (7.62 metres) instead of 46 feet (14.02 metres);
  b) lot areas of 3816 square feet (354.5 square metres) instead of 6164 square feet (572.6 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,07/07/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=16-116285/C,30/03/2016,20/05/2016,St. Vital,St. George,"(49.84667663156081, -97.1085078490133)",,06/06/2016 12:00:00 AM,,POINT (-97.1085078490133 49.84667663156081),,11,95,,10
VARIANCE,Lord Selkirk-West Kildonan,16-116400/C,108 Cathedral AVE,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit lot areas of 3150 square feet (292.6 square metres) instead of 5000 square feet (464.5 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,04/05/2016,,,31/03/2016,09/05/2016,Mynarski,St. John's Park,"(49.92212415526961, -97.12152137768443)",14052637000,05/26/2016 12:00:00 AM,,POINT (-97.12152137768443 49.92212415526961),,4,87,,8
VARIANCE,Lord Selkirk-West Kildonan,16-116404/B,299 Patrick ST,"To vary the ""R2"" Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a single family dwelling to permit a south side yard of 2 feet (0.61 metres) instead of 3 feet (0.91 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the single-family dwelling shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 6 to DAV 16-116404/B.",Internal,,Approved with Condition(s),,31/03/2016,19/04/2016,Point Douglas,Logan-C.P.R.,"(49.90622720862026, -97.144433790333)",13081830400,,,POINT (-97.144433790333 49.90622720862026),,12,100,,1
VARIANCE,Riel,16-116446/C,24 Havelock AVE,"To vary the ""Special Boundary Condition"" of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit the following:
  a) lot areas of 2500 square feet (232.3 square metres) instead of 4663.4 square feet (433.2 square metres);
  b) lot widths of 25 feet (7.62 metres) instead of 46.9 feet (14.30 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,04/05/2016,,,31/03/2016,09/05/2016,St. Vital,St. George,"(49.84502719456886, -97.11067701761154)",,05/26/2016 12:00:00 AM,,POINT (-97.11067701761154 49.84502719456886),,11,95,,10
APPEAL,East Kildonan-Transcona,16-116469/B,284 Woodbine AVE,"For a Conditional Use under Zoning By-Law No. 200/2006 to  permit the establishment of a secondary suite, attached use accessory to a single family dwelling.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the secondary suite, attached accessory to the single-family dwelling on the land shall be developed in substantial conformance with plans submitted and identified as Sheet s 1 to 4 to DAV 16-106739/B.",Meeting,26/05/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=16-116469,31/03/2016,19/04/2016,North Kildonan,Riverbend,"(49.95739471118762, -97.09679321822442)",5009425165,,,POINT (-97.09679321822442 49.95739471118762),,2,5,,9
CONDITIONAL USE,East Kildonan-Transcona,16-116469/B,284 Woodbine AVE,"For a Conditional Use under Zoning By-Law No. 200/2006 to  permit the establishment of a secondary suite, attached use accessory to a single family dwelling.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the secondary suite, attached accessory to the single-family dwelling on the land shall be developed in substantial conformance with plans submitted and identified as Sheet s 1 to 4 to DAV 16-106739/B.",Internal,,Approved with Condition(s),,31/03/2016,19/04/2016,North Kildonan,Riverbend,"(49.95739471118762, -97.09679321822442)",5009425165,,,POINT (-97.09679321822442 49.95739471118762),,2,5,,9
CONDITIONAL USE,City Centre,16-116484/C,905 Preston AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the construction of a multi-family dwelling use.,,Meeting,01/06/2016,,,31/03/2016,03/06/2016,Daniel McIntyre,Wolseley,"(49.884072360342216, -97.17078277437031)",12082330000,06/20/2016 12:00:00 AM,,POINT (-97.17078277437031 49.884072360342216),,3,14,,5
CONDITIONAL USE,Riel,16-116591/C,145 Traverse AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of a multi-family dwelling use.,,Meeting,05/10/2016,,,31/03/2016,25/10/2016,St. Boniface,Norwood East,"(49.87616583908755, -97.11703122502148)",6081525000,11/14/2016 12:00:00 AM,,POINT (-97.11703122502148 49.87616583908755),,8,49,,13
VARIANCE,Riel,16-116593/C,145 Traverse AVE,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the construction of a multi-family dwelling to permit the following:
  a) a front yard of 21 feet (6.40 metres) instead of  23 feet (7.01 metres);
  b) no north corner side yard instead of 2 feet (0.61 metres) to an open landing;
2) for the establishment of an accessory parking area to permit the following:
  a) 4 parking stalls with no direct access to an improved right-of-way or public lane;
  b) open parking within 10 feet (3.05 metres) of a habitable room where the sill is less than 5 feet (1.5 metres) from grade;","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,19/10/2016,,,31/03/2016,25/10/2016,St. Boniface,Norwood East,"(49.87616583908755, -97.11703122502148)",6081525000,11/14/2016 12:00:00 AM,,POINT (-97.11703122502148 49.87616583908755),,8,49,,13
VARIANCE,Riel,16-116604/B,263 Victoria CRES,"To vary the ""R1-E"" dimensional standards of Zoning By-Law No. 200/2006 as follows: 
1) for the construction of a single family dwelling and attached garage to permit a north reverse corner side yard of 43.5 feet (13.26 metres) instead of 50 feet (15.24 metres)
2) for the establishment of a driveway not leading to a parking space.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) The applicant must obtain a residential approach permit from the Public Works Department. 
3) That, the dwelling, driveway and yards shall be developed in substantial accordance with the plans submitted and identified as sheets 1 to 7 of DAV 16-116604/B.",Internal,,Approved with Condition(s),,31/03/2016,22/04/2016,St. Vital,Victoria Crescent,"(49.84124071012339, -97.13104276209727)",8002830500,,,POINT (-97.13104276209727 49.84124071012339),,11,198,,10
CONDITIONAL USE,City Centre,16-116741/B,334 Arnold AVE,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of one secondary suite, attached use accessory to a single family dwelling.","1) That, if any Conditional Use granted by this order is not established within two (2) years of the date, hereof, this order, in respect of that Variance shall terminate.
2) That, the accessory secondary suite, attached be developed in substantial conformance with the plans submitted and identified as Sheets 1 to 6 of DCU 16-116741/B.",Internal,,Approved with Condition(s),,01/04/2016,20/04/2016,Fort Rouge - East Fort Garry,Lord Roberts,"(49.86479597423544, -97.13729031910127)",12012378000,,,POINT (-97.13729031910127 49.86479597423544),,6,99,,15
VARIANCE,Lord Selkirk-West Kildonan,16-116892/C,379 Manitoba AVE,"To vary the ""R2"" Dimensional Standards of Zoning By-law No. 200/2006 for the construction of a two-family dwelling to permit a lot area per dwelling unit of 1780 square feet (165.37 square metres) instead of 2500 square feet (232.26 square metres).",,Meeting,04/05/2016,,,01/04/2016,09/05/2016,Mynarski,William Whyte,"(49.91571499022409, -97.13870179094255)",14020408000,05/26/2016 12:00:00 AM,,POINT (-97.13870179094255 49.91571499022409),,4,138,,8
CONDITIONAL USE,East Kildonan-Transcona,16-116952/B,435 Jamison AVE,"For a Conditional Use under Zoning By-law No. 200/2006 to permit the establishment of one (1) secondary suite, attached use accessory to a single-family dwelling residence.","1) That, if any Conditional Use granted by this order is not established within two (2) years of the date, hereof, this order, in respect of that Conditional Use shall terminate.
2) That, the accessory secondary suite, attached shall be developed in substantial conformance with plans submitted and identified as Sheets 1 to 5 of DCU 16-116952/B.",Internal,,Approved with Condition(s),,01/04/2016,08/04/2016,Elmwood - East Kildonan,Chalmers,"(49.91610310725599, -97.10224137541456)",2062807455,,,POINT (-97.10224137541456 49.91610310725599),,1,197,,2
CONDITIONAL USE,City Centre,16-117273/B,125 Colony ST,"For a Conditional Use under Downtown Zoning By-Law No. 100/2004 to permit the expansion of an accessory parking off street at grade use when parking spaces and aisles exceed 10% of lot area, when adjacent to a public right-of-way.","1. That the wood fencing at the corner of Granite Way and Colony Street shall be replaced with decorative metal fencing for a minimum distance of 12 metres (40 feet) by May 1, 2017
2. That the expanded area of parking shall include four new accessible parking spaces including one van accessible space in substantial conformity with the submitted drawing identified as Sheet 2 dated July 25, 2016.",Internal,,Approved with Condition(s),,04/04/2016,05/08/2016,Fort Rouge - East Fort Garry,Legislature,"(49.884104012699794, -97.15098720789496)",12097804965,,,POINT (-97.15098720789496 49.884104012699794),,6,56,,15
VARIANCE,East Kildonan-Transcona,16-117376/B,89 Werrell CRES,"To vary the ""R1-L"" dimensional standards of Zoning By-Law No. 200/2006 for the maintenance of a sunroom addition to a single family dwelling to permit as follows:
1)a rear yard of 11.5 feet (3.51 metres) instead of 25 feet (7.62 metres).
2)a south side yard of 3 feet (0.91 metres) instead of 4 feet (1.22 metres).","1)That the sunroom addition shall be maintained in substantial conformance with plans submitted and identified as sheets 1 to 3 of DAV 16-117376/B.   
2)That, the variance granted by this order shall terminate upon demolition, removal, replacement or substantial repair of the sunroom addition approved by this order.",Internal,,Approved with Condition(s),,05/04/2016,29/12/2016,Elmwood - East Kildonan,Valley Gardens,"(49.923535980372115, -97.05704650160536)",4006435500,,,POINT (-97.05704650160536 49.923535980372115),,1,13,,2
VARIANCE,Riel,16-117466/B,17 Dunkirk PL,"To vary the ""R1-M"" Dimensional Standards of Zoning By-law No. 200/2006 for the construction of an attached garage to a single family dwelling to permit a front yard of 31 feet (9.45 metres) instead of 44 feet (13.41 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the attached garage addition to the single family dwelling be constructed and developed in substantial conformance with the plans submitted and shown as 
Sheets 1 to 5 of DAV 16-117466/B.",Internal,,Approved with Condition(s),,05/04/2016,26/04/2016,St. Vital,Kingston Crescent,"(49.85268046394191, -97.12921550372386)",8001127500,,,POINT (-97.12921550372386 49.85268046394191),,11,110,,10
VARIANCE,Assiniboia,16-117559/C,900 St James ST,"To vary the ""C3 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of an accessory parking area to permit as follows:
1) no north side yard instead of 25 feet (7.62 metres);
2) parking stall sizes ranging from 2 feet x 20 feet (0.61 metres x 6.10 metres) to 6 feet x 20 feet (1.83 metres x 6.10 metres) instead of 8 feet x 20 feet (2.44 metres x 6.10 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,04/05/2016,,,05/04/2016,09/05/2016,St. James,Polo Park,"(49.89060873573886, -97.20124436999886)",,05/26/2016 12:00:00 AM,,POINT (-97.20124436999886 49.89060873573886),,13,69,,4
VARIANCE,Assiniboia,16-118226/C,675 Berry ST,"To vary the ""M2 PDO Airport Vicinity"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of an accessory parking area to permit a front yard (King Edward Street) of 10 feet (3.05 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,04/05/2016,,,08/04/2016,09/05/2016,St. James,St. James Industrial,"(49.8964848088132, -97.20868311204791)",7569135505,05/26/2016 12:00:00 AM,,POINT (-97.20868311204791 49.8964848088132),,13,48,,4
VARIANCE,City Centre,16-118512/B,10 Greenlawn ST,"To vary the ""R1-M"" (PDO-1 Airport Vicinity) Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a detached garage to permit a building height of 16 feet (4.88 metres) instead of 13 feet (3.96 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the detached garage shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 2 to DAV 16-118512/B.",Internal,,Approved with Condition(s),,11/04/2016,22/11/2016,River Heights - Fort Garry,Sir John Franklin,"(49.86798515137599, -97.1980718389728)",12097804610,,,POINT (-97.1980718389728 49.86798515137599),,5,202,,14
VARIANCE,Lord Selkirk-West Kildonan,16-118728/B,1356 Magnus AVE,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 as follows: 
1) for the construction of a single family dwelling to permit:
a) a front yard of 10 feet (3.05 metres) instead of 17 feet (5.18 metres);
b) a west side yard of 2 feet (0.61 metres) instead of 3 feet (0.91 metres);
c) a west side yard eave projection of 1 foot (0.30 metres) instead of 0.67 feet (0.20 metres);
2) for the maintenance of a detached garage to permit:
a) a west side yard of 1.5 feet (0.46 metres) instead of 2 feet (0.61 metres);
b) a rear yard of 0.9 feet (0.27 metres) instead of 2 feet (0.61 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the proposed single-family dwelling shall be built in substantial conformance with plans submitted and identified as Sheets 2 to 8 to DAV 16-118728/B.
3) That, the detached garage shall be maintained in conformance with the Building Location Certificate dated February 2, 2016 submitted and identified as Sheet 1of 8 to to DAV 16-118728/B.
4) That, the variances granted for the detached garage shall terminate upon the demolition, destruction or removal of said garage.",Internal,,Approved with Condition(s),,12/04/2016,10/05/2016,Point Douglas,Shaughnessy Park,"(49.92890300777117, -97.1788064894281)",14021257000,,,POINT (-97.1788064894281 49.92890300777117),,12,193,,1
VARIANCE,East Kildonan-Transcona,16-118773/B,555 Oakview AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of an open deck to permit a front yard of 23.5 feet (7.16 metres) instead of 32 feet (9.75 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the open deck shall be constructed in substantial conformance with plans submitted and identified as Sheets 1 to 4 of DAV 16-118773/B. 
3) That, the deck shall remain open on three (3) sides except for a railing.",Internal,,Approved with Condition(s),,12/04/2016,30/05/2016,Elmwood - East Kildonan,Rossmere-B,"(49.92488661009491, -97.08639888738938)",2020449500,,,POINT (-97.08639888738938 49.92488661009491),,1,11,,2
APPEAL,City Centre,16-118782/C,917 Riverwood AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit as follows:
  a) lot areas of 4410 square feet (409.7 square metres) instead of 6174 square feet (573.6 square metres)
  b) lot widths of 37.5 feet (11.43 metres) instead of 52.5 feet (16.00 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,15/09/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=16-118782/C,12/04/2016,04/07/2016,Fort Rouge - East Fort Garry,Point Road,"(49.843377773511314, -97.15127363395713)",3090043000,07/21/2016 12:00:00 AM,,POINT (-97.15127363395713 49.843377773511314),,6,24,,15
VARIANCE,City Centre,16-118782/C,917 Riverwood AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit as follows:
  a) lot areas of 4410 square feet (409.7 square metres) instead of 6174 square feet (573.6 square metres)
  b) lot widths of 37.5 feet (11.43 metres) instead of 52.5 feet (16.00 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,15/09/2016,,,12/04/2016,04/07/2016,Fort Rouge - East Fort Garry,Point Road,"(49.843377773511314, -97.15127363395713)",3090043000,07/21/2016 12:00:00 AM,,POINT (-97.15127363395713 49.843377773511314),,6,24,,15
VARIANCE,East Kildonan-Transcona,16-118938/B,119 Greene AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a single family dwelling and attached garage to permit as follows:
  a) a front yard of 25 feet (7.62 metres) instead of 32 feet (9.75 metres)
  b) a rear yard of 20 feet (6.10 metres) instead of 25 feet (7.62 metres)
  c) a lot coverage of 46% instead of 45%.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the proposed single-family dwelling and attached garage shall be built in substantial conformance with plans submitted and identified as Sheet 1 of DAV 16-118938/B.",Internal,,Approved with Condition(s),,12/04/2016,02/06/2016,North Kildonan,Kildonan Drive,"(49.93322020843151, -97.1040157136957)",2062807555,,,POINT (-97.1040157136957 49.93322020843151),,10,4,,9
VARIANCE,Assiniboia,16-118960/B,503 Coventry RD,"To vary the ""R1-L"" Dimensional Standards of Zoning By-Law No. 200/2006 for the maintenance of a fence in the front yard to permit a fence height of 6.0 feet (1.83 metres) instead of 4.0 feet (1.22 metres).","1) That, the fence shall be maintained in accordance with the plans submitted and shown as sheets         1 & 2 of DAV 16-118960/B.",Internal,,Approved with Condition(s),,12/04/2016,06/07/2016,Charleswood - Tuxedo - Westwood,Eric Coy,"(49.85840529395725, -97.27681417263096)",1002613800,,,POINT (-97.27681417263096 49.85840529395725),,15,219,,6
VARIANCE,City Centre,16-119332/B,315 Campbell ST,"To vary the ""R1-M"" (PDO-1 Airport Vicinity) Dimensional Standards of Zoning By-law No. 200/2006 for the construction of a single-family dwelling with a front covered porch to permit a front yard of 30 feet (9.14 metres) instead of 34 feet (10.36 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the front porch shall remain unenclosed except for a railing.
3) That, the single-family dwelling with a front porch shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 5 to DAV 16-119332/B.",Internal,,Approved with Condition(s),,13/04/2016,05/05/2016,River Heights - Fort Garry,North River Heights,"(49.869451534936616, -97.1910172361012)",12062340000,,,POINT (-97.1910172361012 49.869451534936616),,5,162,,14
VARIANCE,Riel,16-119336/B,119 Minnetonka ST,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a detached garage to permit as follows:
  a) a front yard of 34 feet (10.36 metres) instead of 35 feet (10.67 metres);
  b) a height of 16.5 feet (5.03 metres) instead of 13 feet (3.96 metres);
  c) a north side yard of 3 feet (0.91 metres) instead of 4 feet (1.22 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.  
2) That, the proposed detached garage shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 5 of DAV 16-119336/B.",Internal,,Approved with Condition(s),,13/04/2016,03/05/2016,St. Vital,Minnetonka,"(49.82076523595793, -97.12418809724156)",8004963100,,,POINT (-97.12418809724156 49.82076523595793),,11,83,,10
APPEAL,Assiniboia,16-119343/D,5715 Roblin BLVD,"To vary the Special Boundary Conditions and proposed ""R1-L"" and ""RMF-S"" Dimensional Standards of Zoning By-law No. 200/2006 as follows:
1) for the establishment of three (3) residential lots to permit:
  a) On proposed Lot 1, a lot area of 7000 square feet (650.32 square metres) instead of 8941 square feet (830.65 square metres);
  b) On proposed Lot 2, a lot area of 8170 square feet (759.02 square metres) instead of 8941 square feet (830.65 square metres);
  c) no frontage on a public street for Lots 1 and 2 (access will be by way of a cross-access agreement);
2) for the maintenance of a single family dwelling and attached garage on proposed Lot 2 to permit:
  a) a front yard of 7.9 feet (2.41 metres) instead of 22 feet (6.71 metres);
  b) a south side yard eave projection of 3.1 feet (0.94 metres) instead of 1 foot (0.30 metres).",,Meeting,27/10/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=16-119343/D,13/04/2016,16/09/2016,Charleswood - Tuxedo - Westwood,Southboine,"(49.86104186332169, -97.29647860405102)",,10/05/2016 12:00:00 AM,,POINT (-97.29647860405102 49.86104186332169),,15,101,,6
VARIANCE,Assiniboia,16-119343/D,5715 Roblin BLVD,"To vary the Special Boundary Conditions and proposed ""R1-L"" and ""RMF-S"" Dimensional Standards of Zoning By-law No. 200/2006 as follows:
1) for the establishment of three (3) residential lots to permit:
  a) On proposed Lot 1, a lot area of 7000 square feet (650.32 square metres) instead of 8941 square feet (830.65 square metres);
  b) On proposed Lot 2, a lot area of 8170 square feet (759.02 square metres) instead of 8941 square feet (830.65 square metres);
  c) no frontage on a public street for Lots 1 and 2 (access will be by way of a cross-access agreement);
2) for the maintenance of a single family dwelling and attached garage on proposed Lot 2 to permit:
  a) a front yard of 7.9 feet (2.41 metres) instead of 22 feet (6.71 metres);
  b) a south side yard eave projection of 3.1 feet (0.94 metres) instead of 1 foot (0.30 metres).",,Meeting,27/10/2016,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=16-119343/D,13/04/2016,16/09/2016,Charleswood - Tuxedo - Westwood,Southboine,"(49.86104186332169, -97.29647860405102)",,10/05/2016 12:00:00 AM,,POINT (-97.29647860405102 49.86104186332169),,15,101,,6
CONDITIONAL USE,East Kildonan-Transcona,16-119396/B,140 Foch AVE A,"For a Conditional Use under Zoning By-law No. 200/2006 to permit the establishment of one (1) secondary suite, attached use accessory to a single-family dwelling residence.","1) That, if any Conditional Use granted by this order is not established within two (2) years of
     the date, hereof, this order, in respect of that Variance shall terminate.
2) That, the accessory secondary suite, attached be developed in substantial conformance with
    plans submitted and identified as Sheets 1 to 5 of DCU 16-119396/B.",Internal,,Approved with Condition(s),,14/04/2016,04/05/2016,Transcona,Transcona South,"(49.88179506341911, -97.01065461176215)",9008456000,,,POINT (-97.01065461176215 49.88179506341911),,9,79,,11
VARIANCE,East Kildonan-Transcona,16-119608/B,128 Prairie Crocus DR,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a detached garage to permit a lot coverage of 13.5% instead of 12.5%.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the detached garage shall be constructed in substantial conformance with plans submitted and identified as Sheets 1 to 3 of DAV 16-119608/B.",Internal,,Approved with Condition(s),,15/04/2016,05/05/2016,Transcona,Peguis,"(49.90815948105705, -97.04957594589625)",4007253670,,,POINT (-97.04957594589625 49.90815948105705),,9,188,,11
CONDITIONAL USE,Riel,16-119610/C,"48 Frederick AVE Unit 1, 48 Frederick AVE Unit 2, and 48 Frederick AVE A & B","For a Conditional Use under Zoning By-Law No. 200/2006 to permit the establishment of an accessory secondary suite, attached, use in each of the two proposed single-family dwellings.",,Meeting,07/07/2016,,,15/04/2016,20/05/2016,St. Vital,St. George,"(49.846748560950715, -97.10850463340682)",8081222815,06/06/2016 12:00:00 AM,,POINT (-97.10850463340682 49.846748560950715),,11,95,,10
CONDITIONAL USE,East Kildonan-Transcona,16-119665/B,453 Sydney AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to  permit a massage therapist providing a personal service on the premises to establish as a home-based business.,"1) That the hours of operation on the premises be limited to between 9:00 a.m. and 9:00 p.m. 
     Monday to Friday and 9:00 a.m. and 1:00 p.m. on Saturday.
2) The operator of the home-based business must be a resident of the dwelling unit where the 
     home-based business is being conducted.
3) That the home-based business granted by this order shall operate by appointment only, with a 
    maximum of one (1) customer on the premises at a time.
4) That there shall be no non-resident employees on the premises.
5) That the Conditional Use granted by this Order to permit a massage therapist providing a 
    personal service as a home-based business on the premises shall terminate on May 15, 2018.",Internal,,Approved with Condition(s),,15/04/2016,29/04/2016,Elmwood - East Kildonan,Munroe West,"(49.92125976843038, -97.09540632619404)",2010231000,,,POINT (-97.09540632619404 49.92125976843038),,1,112,,2
